Review,Rating
good,1
Best,1
Very good experience. All the best,1
Nice experience,1
The best aap,1
Good,1
App not good,-1
Nice app,1
"not open many time ,something is wrong try later",-1
Without informing amount debit,-1
Very bad,-1
It was great to experiencing something new,1
Very nice,1
Support,1
This is the number 1 audio book app for india,1
Money vest im not use the app but my money losss,-1
plzz 7days free try,1
superb,1
bahut bakwaas app h yeh 2 rs ka subscription lekar baad mi 499 rs kaat lega aapke or refund bhi nhi dega... na koi benefits don't download please worst app i ever downloaded... very bad experience with this.....,-1
nice,-1
Worst app ever,-1
good,1
Do not install they ask for Money,-1
Wow,1
Good,1
very good application for motivational app,1
very nice,1
Best app,1
good and well story,1
You are extra money in my account not yet received money,1
Not based,-1
Nice,1
Good app,1
Very helpful app,1
Nice app,1
dayolod na karta,1
mai ap sabko bolna chahti hu glti se bhi ye app download mt krna kiuki ye ek froud app hai ishko ap download kroge or ye har mahine bina apke permission ke apke account se 300 rupe cut kr leta hai or fir refund bhi nhii krta,-1
Super,1
Worst app money scam doing Delete app,-1
thanks kuku fm boh thi acha ap he,1
1499 amount cut...no refund...worst app,-1
One of the worst app in my phone. It ig good app but taking high amount of MB for single 6 min video. I want say that use this app on your risk,-1
super,1
Good,1
super,1
Very good,1
Very nice,1
good,-1
It's a super app to listen Stories,1
worst experience. I am installed this app and loged in after that from my upi account 399 rupees has been deducted whereas I am not paying any amount,-1
Not Working In Samsung Galaxy Watch!! Really Disappointed,-1
Nice,1
Good and nice fm,1
faltu hai,-1
it's a fraud app don't use this app,-1
Good,1
Good,1
Nice,1
Nice to listen,1
He will do anything for money,-1
very nice,1
super,1
Nice,1
nice,1
so nice this good,1
Best,1
Bad,-1
ok good its,1
super,1
Nice,1
Dosto app chahe to Autopay stop kar sakte kuku fm ka jaise bhi apne kuku fm ko pay Kiya hai us me Jake Autopay ka option diya hai usme Jake bus cansel kar dena fir ye kuku wale apka auto pay nhi le payege mene kar diya stop pay kuku FM,-1
Best app,1
waste of time i requested to refund but they didn't do,-1
Not bad,1
worst app ever didn't give me refund they get paid automatically without permission and nothing how this can be done i want my refund,-1
very nice app,1
good,1
fantastic for relax mind and super books in kuku FM I love this,1
Very bad application,-1
Worst app,-1
nice,1
nice,1
nice fm,1
i like the story im currently listening to. However I dont like there is no real way to earn rewards to keep going,1
good,1
helpful free time,1
most ads problem. and slow network.,-1
Love all the shows,1
Good,1
Mujhe mere pasia wapis chaia,-1
Good,1
wow,1
chilling with kuku,1
faltu hai bhai,-1
for related video conclusion i logined but its not have its completely business statege,-1
Vest app many west time west,-1
good,1
Worst 18+ Ads,-1
best app,1
Asking for money like beggar app,-1
fake,-1
Don't suggest sex .....ads it's not good for children,-1
I have not used Cuckoo FM app but you have done auto pay twice,-1
Vip option hatawo nahi to dhub jayegi company sab lutne ka dhong hai yesab,-1
nice,1
good,1
Good audio books collection,1
Good for knowledge,1
Good,1
I personally dissatisfied with this app the reason being they told that autopay will automatically debit and redebit the amount and now they are asking to maintain adequate money in HDFC account and they will deduct rs 299. I have already discontinued kuku fm and uninstalled it. But again and again they are sending messages that rs 299 will be deductedfrom my account. I actually debited all my money from my account and I really dont know what to do. Please help me.,-1
in my entire life I have never given a review in the playstore trust me this is the worst app I have ever wasted by installing this.,-1
Nice story,1
I paid but still can't use the app,-1
Totally disappointed contact is not so good,-1
best,1
I like story voice,1
Isase achcha to pocket FM hai baat baat per is mein Paisa coin mangta hai,-1
